DATE,XAU,CCI,FFR,MA14,MA7,MA_FFR,FFR_dy/dx
1993-06-01,381,98,3,344.5,342.57142857142856,4.166666666666667,-0.0034153005464480825
1993-07-01,379,98,3,345.7142857142857,346.85714285714283,3.9583333333333335,-0.006944444444444449
1993-09-01,389,99,3,347.35714285714283,354.7142857142857,3.7916666666666665,-0.0026881720430107577
1993-10-01,355,99,2,348.57142857142856,357.7142857142857,3.625,-0.0055555555555555506
1993-11-01,365,99,3,350.2142857142857,362.14285714285717,3.5,-0.004032258064516129
1993-12-01,363,99,2,352.07142857142856,367.0,3.3333333333333335,-0.0055555555555555506
1994-02-01,381,99,3,354.7142857142857,373.2857142857143,3.25,-0.0013440860215053788
1994-03-01,376,99,3,357.57142857142856,372.57142857142856,3.1666666666666665,-0.0029761904761904817
1994-04-01,383,99,3,360.0,373.14285714285717,3.0833333333333335,-0.002688172043010743
1994-06-01,383,100,4,363.5,372.2857142857143,3.0416666666666665,-0.0006830601092896224
1994-07-01,391,100,4,367.57142857142856,377.42857142857144,3.0,-0.001388888888888884
1994-08-01,384,100,4,371.14285714285717,380.14285714285717,3.0,0.0
1994-09-01,386,100,4,375.2142857142857,383.42857142857144,3.0,0.0
1994-11-01,389,100,5,378.92857142857144,384.57142857142856,3.0833333333333335,0.0013661202185792374
1994-12-01,389,100,5,379.5,386.42857142857144,3.1666666666666665,0.002777777777777768
1995-02-01,380,100,5,379.57142857142856,386.0,3.25,0.0013440860215053788
1995-03-01,379,100,5,378.85714285714283,385.42857142857144,3.3333333333333335,0.0029761904761904817
1995-05-01,392,100,6,381.5,385.57142857142856,3.4583333333333335,0.0020491803278688526
1995-06-01,392,100,6,383.42857142857144,386.7142857142857,3.5833333333333335,0.004032258064516129
1995-08-01,388,100,5,385.2142857142857,387.0,3.7083333333333335,0.0020491803278688526
1995-09-01,383,100,5,385.35714285714283,386.14285714285717,3.7916666666666665,0.002688172043010743
1995-11-01,384,100,5,385.92857142857144,385.42857142857144,3.875,0.0013661202185792374
1995-12-01,384,100,5,386.0,386.0,3.9583333333333335,0.0027777777777777827
1996-01-01,388,100,5,386.35714285714283,387.2857142857143,4.083333333333333,0.004032258064516115
1996-02-01,403,100,5,387.2142857142857,388.85714285714283,4.166666666666667,0.002688172043010772
1996-03-01,403,100,5,388.57142857142856,390.42857142857144,4.25,0.0028735632183907946
1996-04-01,395,100,5,389.2142857142857,391.42857142857144,4.333333333333333,0.002688172043010743
1996-05-01,391,100,5,389.35714285714283,392.57142857142856,4.458333333333333,0.004166666666666667
1996-07-01,383,100,5,388.92857142857144,392.42857142857144,4.541666666666667,0.0013661202185792447
1996-08-01,384,100,5,389.2142857142857,392.42857142857144,4.666666666666667,0.004032258064516129
1996-10-01,385,101,5,389.64285714285717,392.0,4.75,0.0013661202185792302
1996-11-01,380,101,5,388.7857142857143,388.7142857142857,4.833333333333333,0.002688172043010743
1997-01-01,369,101,5,387.14285714285717,383.85714285714283,4.916666666666667,0.0013661202185792447
1997-04-01,353,101,5,384.64285714285717,377.85714285714283,4.958333333333333,0.0004629629629629563
1997-05-01,342,101,5,381.7142857142857,370.85714285714283,5.0,0.0013888888888888987
1997-07-01,344,101,5,378.85714285714283,365.2857142857143,5.041666666666667,0.0006830601092896224
1997-08-01,326,101,5,374.7142857142857,357.0,5.083333333333333,0.0013440860215053572
1997-09-01,322,101,5,370.0,348.0,5.083333333333333,0.0
1997-10-01,322,101,5,364.2142857142857,339.7142857142857,5.083333333333333,0.0
1997-12-01,297,101,5,356.64285714285717,329.42857142857144,5.083333333333333,0.0
1998-01-01,297,101,5,349.64285714285717,321.42857142857144,5.083333333333333,0.0
1998-04-01,294,101,5,342.7142857142857,314.57142857142856,5.041666666666667,-0.0004629629629629563
1998-05-01,294,101,5,336.35714285714283,307.42857142857144,5.0,-0.0013888888888888987
1998-06-01,299,101,5,330.2857142857143,303.57142857142856,5.0,0.0
1998-07-01,293,101,5,323.7142857142857,299.42857142857144,5.0,0.0
1998-09-01,291,101,5,317.35714285714283,295.0,5.0,0.0
1998-10-01,299,100,5,312.35714285714283,295.2857142857143,5.0,0.0
1998-12-01,293,100,4,308.07142857142856,294.7142857142857,4.958333333333333,-0.0006830601092896224
1999-01-01,293,100,4,304.57142857142856,294.57142857142856,4.916666666666667,-0.0013440860215053572
1999-02-01,287,100,4,300.5,293.57142857142856,4.875,-0.001344086021505386
1999-03-01,287,100,4,297.7142857142857,291.85714285714283,4.833333333333333,-0.0014880952380952486
1999-04-01,282,100,4,294.85714285714283,290.2857142857143,4.791666666666667,-0.0013440860215053572
1999-06-01,278,101,4,291.7142857142857,288.42857142857144,4.75,-0.0006830601092896224
1999-07-01,263,101,4,289.2857142857143,283.2857142857143,4.708333333333333,-0.0013888888888888987
1999-09-01,259,101,5,286.57142857142856,278.42857142857144,4.708333333333333,0.0
1999-10-01,303,101,5,287.2142857142857,279.85714285714283,4.708333333333333,0.0
1999-11-01,309,101,5,288.2857142857143,283.0,4.708333333333333,0.0
1999-12-01,292,101,5,287.7857142857143,283.7142857142857,4.708333333333333,0.0
2000-02-01,282,101,5,287.0,283.7142857142857,4.708333333333333,0.0
2000-03-01,294,101,5,287.2142857142857,286.0,4.708333333333333,0.0
2000-05-01,280,101,6,285.85714285714283,288.42857142857144,4.75,0.0006830601092896224
2000-06-01,273,101,6,284.42857142857144,290.42857142857144,4.791666666666667,0.001344086021505386
2000-08-01,283,101,6,283.7142857142857,287.57142857142856,4.833333333333333,0.0006830601092896077
2000-09-01,274,101,6,282.7857142857143,282.57142857142856,4.875,0.001344086021505386
2000-11-01,266,101,6,281.2857142857143,278.85714285714283,4.916666666666667,0.0006830601092896224
2000-12-01,267,101,6,280.2142857142857,276.7142857142857,4.958333333333333,0.0013888888888888692
2001-01-01,273,101,5,279.85714285714283,273.7142857142857,4.958333333333333,0.0
2001-02-01,268,101,5,280.2142857142857,272.0,4.958333333333333,0.0
2001-03-01,265,100,5,280.64285714285717,270.85714285714283,4.958333333333333,0.0
2001-05-01,257,100,4,277.35714285714283,267.14285714285717,4.916666666666667,-0.0006830601092896077
2001-06-01,265,100,3,274.2142857142857,265.85714285714283,4.833333333333333,-0.002688172043010772
2001-08-01,268,99,3,272.5,266.14285714285717,4.791666666666667,-0.0006830601092896077
2001-10-01,291,99,2,273.14285714285717,269.57142857142856,4.708333333333333,-0.0013661202185792447
2001-11-01,291,99,2,272.92857142857144,272.14285714285717,4.625,-0.002688172043010743
2002-01-01,291,100,1,273.7142857142857,275.42857142857144,4.5,-0.0020491803278688526
2002-02-01,282,100,1,274.35714285714283,277.85714285714283,4.375,-0.004032258064516129
2002-03-01,293,100,1,275.07142857142856,283.0,4.25,-0.004464285714285714
2002-04-01,303,100,1,277.14285714285717,288.42857142857144,4.125,-0.004032258064516129
2002-05-01,303,100,1,279.7857142857143,293.42857142857144,3.9583333333333335,-0.0055555555555555506
2002-07-01,319,99,1,283.5,297.42857142857144,3.7916666666666665,-0.0027322404371584747
2002-08-01,324,99,1,287.14285714285717,302.14285714285717,3.625,-0.005376344086021501
2002-10-01,318,99,1,290.7142857142857,306.0,3.4583333333333335,-0.0027322404371584673
2002-11-01,314,99,1,294.2142857142857,310.57142857142856,3.2916666666666665,-0.005376344086021515
2003-01-01,345,98,1,300.5,318.0,3.125,-0.0027322404371584673
2003-04-01,333,98,1,305.35714285714283,322.2857142857143,2.9166666666666665,-0.002314814814814816
2003-05-01,336,98,1,310.2142857142857,327.0,2.7083333333333335,-0.0069444444444444345
2003-07-01,359,98,1,315.07142857142856,332.7142857142857,2.5,-0.00341530054644809
2003-08-01,364,98,1,320.2857142857143,338.42857142857144,2.2916666666666665,-0.006720430107526886
2003-09-01,371,99,1,326.0,346.0,2.0833333333333335,-0.006720430107526872
2003-10-01,385,99,1,333.35714285714283,356.14285714285717,1.875,-0.006944444444444449
2003-12-01,392,99,0,340.42857142857144,362.85714285714283,1.6666666666666667,-0.003415300546448086
2004-01-01,404,99,1,347.64285714285717,373.0,1.5,-0.0053763440860215075
2004-03-01,404,99,1,354.85714285714283,382.7142857142857,1.3333333333333333,-0.002777777777777779
2004-04-01,423,99,1,362.2857142857143,391.85714285714283,1.2083333333333333,-0.004032258064516129
2004-06-01,379,99,1,366.2142857142857,394.0,1.125,-0.0013661202185792337
2004-07-01,386,100,1,371.07142857142856,396.14285714285717,1.0416666666666667,-0.0027777777777777753
2004-09-01,408,100,1,377.7857142857143,399.42857142857144,1.0,-0.0006720430107526894
2004-10-01,409,100,1,382.35714285714283,401.85714285714283,0.9583333333333334,-0.0013888888888888876
2004-11-01,429,99,1,389.2142857142857,405.42857142857144,0.9583333333333334,0.0
2004-12-01,452,99,2,397.5,412.2857142857143,1.0,0.0013888888888888876
2005-02-01,438,100,2,403.14285714285717,414.42857142857144,1.0416666666666667,0.0006720430107526894
2005-03-01,438,100,2,408.42857142857144,422.85714285714283,1.0833333333333333,0.0014880952380952328
2005-04-01,442,100,2,413.5,430.85714285714283,1.125,0.0013440860215053788
2005-06-01,433,99,3,416.92857142857144,434.42857142857144,1.2083333333333333,0.0013661202185792337
2005-07-01,433,99,3,419.85714285714283,437.85714285714283,1.2916666666666667,0.0027777777777777827
2005-08-01,420,99,3,421.0,436.57142857142856,1.375,0.0026881720430107503
2005-09-01,433,99,3,423.07142857142856,433.85714285714283,1.4583333333333333,0.0026881720430107503
2005-11-01,467,100,4,426.2142857142857,438.0,1.5833333333333333,0.0020491803278688526
2005-12-01,493,100,4,434.35714285714283,445.85714285714283,1.7083333333333333,0.004166666666666667
2006-02-01,541,100,4,445.42857142857144,460.0,1.8333333333333333,0.0020161290322580645
2006-03-01,556,100,4,456.0,477.57142857142856,1.9583333333333333,0.004464285714285714
2006-05-01,634,101,4,472.07142857142856,506.2857142857143,2.0833333333333335,0.002049180327868856
2006-06-01,654,101,4,488.14285714285717,539.7142857142857,2.2083333333333335,0.004032258064516129
2006-08-01,637,101,5,501.35714285714283,568.8571428571429,2.375,0.0027322404371584673
2006-09-01,624,101,5,514.6428571428571,591.2857142857143,2.5833333333333335,0.006720430107526886
2006-11-01,598,101,5,526.0714285714286,606.2857142857143,2.75,0.0027322404371584673
2006-12-01,636,101,5,539.9285714285714,619.8571428571429,2.9166666666666665,0.0055555555555555506
2007-01-01,629,101,5,553.9285714285714,630.2857142857143,3.0833333333333335,0.005376344086021515
2007-02-01,643,101,5,568.9285714285714,631.5714285714286,3.25,0.005376344086021501
2007-03-01,677,101,5,587.2857142857143,634.8571428571429,3.4166666666666665,0.005952380952380947
2007-05-01,678,101,5,604.7857142857143,640.7142857142857,3.5833333333333335,0.0027322404371584747
2007-06-01,655,101,5,618.2142857142857,645.1428571428571,3.75,0.005376344086021501
2007-08-01,676,101,5,631.2857142857143,656.2857142857143,3.9166666666666665,0.0027322404371584673
2007-10-01,704,100,4,642.9285714285714,666.0,4.0,0.0013661202185792374
2007-11-01,792,100,4,659.7857142857143,689.2857142857143,4.083333333333333,0.002688172043010743
2008-01-01,803,100,3,671.8571428571429,712.1428571428571,4.125,0.0006830601092896224
2008-02-01,933,100,2,691.7857142857143,748.7142857142857,4.125,0.0
2008-04-01,897,100,2,710.3571428571429,780.0,4.083333333333333,-0.0006944444444444493
2008-05-01,886,100,1,729.0714285714286,813.0,4.0,-0.002777777777777768
2008-07-01,923,99,2,752.2857142857143,848.2857142857143,3.9583333333333335,-0.0006830601092896151
2008-08-01,912,99,2,772.0,878.0,3.9166666666666665,-0.001344086021505386
2008-09-01,832,99,1,786.5,883.7142857142857,3.7916666666666665,-0.004032258064516129
2008-10-01,876,99,0,803.1428571428571,894.1428571428571,3.625,-0.0055555555555555506
2008-12-01,817,98,0,813.1428571428571,877.5714285714286,3.4583333333333335,-0.0027322404371584673
2009-01-01,865,98,0,826.5,873.0,3.2916666666666665,-0.005376344086021515
2009-04-01,923,98,0,845.6428571428571,878.2857142857143,3.125,-0.00185185185185185
2009-05-01,889,98,0,860.8571428571429,873.4285714285714,2.9583333333333335,-0.0055555555555555506
2009-06-01,987,98,0,881.0714285714286,884.1428571428571,2.75,-0.006720430107526886
2009-07-01,941,98,0,891.7142857142857,899.7142857142857,2.5416666666666665,-0.006944444444444449
2009-09-01,956,99,0,902.6428571428571,911.1428571428571,2.3333333333333335,-0.003360215053763436
2009-10-01,997,99,0,907.2142857142857,936.8571428571429,2.125,-0.006944444444444449
2009-12-01,1172,100,0,926.8571428571429,980.7142857142857,1.9166666666666667,-0.003415300546448086
2010-01-01,1104,100,0,942.4285714285714,1006.5714285714286,1.7083333333333333,-0.006720430107526886
2010-02-01,1082,100,0,953.7857142857143,1034.142857142857,1.5,-0.006720430107526879
2010-03-01,1093,100,0,966.7142857142857,1049.2857142857142,1.2916666666666667,-0.0074404761904761875
2010-04-01,1116,100,0,987.0,1074.2857142857142,1.0833333333333333,-0.006720430107526886
2010-06-01,1214,100,0,1011.1428571428571,1111.142857142857,0.875,-0.003415300546448086
2010-07-01,1240,100,0,1041.357142857143,1145.857142857143,0.7083333333333334,-0.005555555555555554
2010-09-01,1250,100,0,1068.857142857143,1157.0,0.5416666666666666,-0.0026881720430107538
2010-10-01,1313,100,0,1096.7142857142858,1186.857142857143,0.4166666666666667,-0.004166666666666665
2010-11-01,1334,100,0,1128.5,1222.857142857143,0.3333333333333333,-0.0026881720430107538
2010-12-01,1375,100,0,1156.2142857142858,1263.142857142857,0.25,-0.002777777777777777
2011-02-01,1316,100,0,1183.0,1291.7142857142858,0.20833333333333334,-0.000672043010752688
2011-03-01,1405,100,0,1215.0714285714287,1319.0,0.125,-0.0029761904761904765
2011-04-01,1431,100,0,1246.0714285714287,1346.2857142857142,0.041666666666666664,-0.002688172043010753
2011-06-01,1537,100,0,1272.142857142857,1387.2857142857142,0.0,-0.0006830601092896175
2011-07-01,1508,100,0,1301.0,1415.142857142857,0.0,0.0
2011-08-01,1621,99,0,1339.5,1456.142857142857,0.0,0.0
2011-09-01,1826,99,0,1391.857142857143,1520.5714285714287,0.0,0.0
2011-11-01,1702,98,0,1433.7142857142858,1575.7142857142858,0.0,0.0
2011-12-01,1750,98,0,1472.0,1625.0,0.0,0.0
2012-02-01,1744,98,0,1508.0,1669.7142857142858,0.0,0.0
2012-03-01,1721,98,0,1541.642857142857,1696.0,0.0,0.0
2012-05-01,1654,98,0,1566.0,1716.857142857143,0.0,0.0
2012-06-01,1579,98,0,1583.5,1710.857142857143,0.0,0.0
2012-08-01,1603,98,0,1599.7857142857142,1679.0,0.0,0.0
2012-10-01,1781,98,0,1633.0,1690.2857142857142,0.0,0.0
2012-11-01,1718,98,0,1655.357142857143,1685.7142857142858,0.0,0.0
2013-01-01,1664,97,0,1672.0,1674.2857142857142,0.0,0.0
2013-02-01,1665,97,0,1681.142857142857,1666.2857142857142,0.0,0.0
2013-03-01,1570,97,0,1685.5714285714287,1654.2857142857142,0.0,0.0
2013-04-01,1591,98,0,1683.4285714285713,1656.0,0.0,0.0
2013-05-01,1425,98,0,1654.7857142857142,1630.5714285714287,0.0,0.0
2013-07-01,1232,98,0,1621.2142857142858,1552.142857142857,0.0,0.0
2013-08-01,1312,98,0,1589.9285714285713,1494.142857142857,0.0,0.0
2013-10-01,1373,99,0,1563.4285714285713,1452.5714285714287,0.0,0.0
2013-11-01,1351,99,0,1537.0,1407.7142857142858,0.0,0.0
2014-01-01,1195,100,0,1504.2142857142858,1354.142857142857,0.0,0.0
2014-04-01,1294,100,0,1483.857142857143,1311.7142857142858,0.0,0.0
2014-05-01,1283,100,0,1461.0,1291.4285714285713,0.0,0.0
2014-07-01,1313,100,0,1427.5714285714287,1303.0,0.0,0.0
2014-08-01,1295,100,0,1397.357142857143,1300.5714285714287,0.0,0.0
2014-09-01,1288,100,0,1370.5,1288.4285714285713,0.0,0.0
2014-10-01,1210,100,0,1338.0,1268.2857142857142,0.0,0.0
2014-12-01,1196,100,0,1311.2857142857142,1268.4285714285713,0.0,0.0
2015-01-01,1194,100,0,1282.9285714285713,1254.142857142857,0.0,0.0
2015-04-01,1198,100,0,1266.7142857142858,1242.0,0.0,0.0
2015-05-01,1179,100,0,1262.9285714285713,1222.857142857143,0.0,0.0
2015-06-01,1194,100,0,1254.5,1208.4285714285713,0.0,0.0
2015-07-01,1175,101,0,1240.357142857143,1192.2857142857142,0.0,0.0
2015-09-01,1085,100,0,1221.357142857143,1174.4285714285713,0.0,0.0
2015-10-01,1136,100,0,1217.142857142857,1165.857142857143,0.0,0.0
2015-12-01,1073,100,0,1201.357142857143,1148.5714285714287,0.0,0.0
2016-01-01,1077,100,0,1186.642857142857,1131.2857142857142,0.0,0.0
2016-02-01,1122,100,0,1173.0,1123.142857142857,0.0,0.0
2016-03-01,1240,100,0,1169.0714285714287,1129.7142857142858,0.0,0.0
2016-04-01,1240,100,0,1165.642857142857,1139.0,0.0,0.0
2016-06-01,1281,100,0,1170.7142857142858,1167.0,0.0,0.0
2016-07-01,1317,100,0,1179.357142857143,1192.857142857143,0.0,0.0
2016-08-01,1315,100,0,1188.0,1227.4285714285713,0.0,0.0
2016-09-01,1330,100,0,1197.4285714285713,1263.5714285714287,0.0,0.0
2016-11-01,1267,101,0,1203.7142857142858,1284.2857142857142,0.0,0.0
2016-12-01,1232,101,0,1206.4285714285713,1283.142857142857,0.0,0.0
2017-02-01,1210,101,0,1208.9285714285713,1278.857142857143,0.0,0.0
2017-03-01,1231,101,0,1219.357142857143,1271.7142857142858,0.0,0.0
2017-05-01,1285,101,0,1230.0,1267.142857142857,0.0,0.0
2017-06-01,1265,101,1,1243.7142857142858,1260.0,0.041666666666666664,0.0013440860215053762
2017-08-01,1252,101,1,1256.2142857142858,1248.857142857143,0.08333333333333333,0.0006830601092896175
2017-09-01,1252,101,1,1265.5,1246.7142857142858,0.125,0.0013440860215053765
2017-11-01,1278,101,1,1268.2142857142858,1253.2857142857142,0.16666666666666666,0.0006830601092896174
2017-12-01,1280,101,1,1271.0714285714287,1263.2857142857142,0.20833333333333334,0.0013888888888888896
2018-01-01,1280,101,1,1271.0,1270.2857142857142,0.25,0.001344086021505376
2018-02-01,1343,101,1,1272.857142857143,1278.5714285714287,0.2916666666666667,0.0013440860215053769
2018-03-01,1345,101,1,1275.0,1290.0,0.3333333333333333,0.0014880952380952367
2018-05-01,1328,101,1,1274.857142857143,1300.857142857143,0.375,0.0006830601092896178
2018-06-01,1294,101,1,1276.7857142857142,1306.857142857143,0.4166666666666667,0.0013440860215053769
2018-08-01,1250,101,1,1278.0714285714287,1302.857142857143,0.4583333333333333,0.0006830601092896168
2018-10-01,1196,101,2,1277.0714285714287,1290.857142857143,0.5416666666666666,0.0013661202185792348
2018-11-01,1220,101,2,1276.2857142857142,1282.2857142857142,0.625,0.0026881720430107538
